name,postcode
Aboriginal & Torres Strait Islander Legal Service (Qld) Ltd,4000
Hope Foundation Limited,4122
Christian Surfers International,2515
Youth Futures Wa Inc,6027
The Royal Societies Of Australia,2006
The Baptist Union Of Queensland - Cooktown,4895
Australian Community Philanthropy Ltd,3000
Nafsika Stamoulis Hellenic Museum Limited,3000
Doxa Social Club Incorporated,3003
Hands On Learning Australia,
MAS National Limited,3070
St Stephens Anglican Church Greythorn,3104
Kalamunda Church Of Christ Incorporated,6076
Riverland Support Group For The Disabled Inc,5333
Financial Basics Community Foundation Limited,3000
Military & Hospitaller Order Of St Lazarus Of Jerusalem Inc. Sa Branch,
World Maitreya Karuna Foundation Australia (Wmkfa),2484
Australian Academy Of Sport Limited,4216
Anba Abraam Association Incorporated,2210
Bundoora Extended Care Centre Preston Auxiliary,3083
Chill Foundation Limited,2100
Short Black Opera Company Pty Ltd,3004
S4 Global Church Limited,4575
Biripi Aboriginal Corporation Medical Centre,2430
Play For Life Ltd,3162
Plumbing Industry Climate Action Centre (Picac) Ltd,3056
Carbon Market Institute Limited,3000
Victoria State Emergency Service Broadmeadows Unit,3061
Our Big Kitchen Ltd,2026
Australians For Australia Limited,2500
The Trustee For Wilson HTM Foundation,4000
Outer Urban Projects Limited,
Orthopaedic Research Institute Of Queensland Limited,4812
Visability Limited,6100
The Corporation Of The Synod Of The Diocese Of Brisbane,4573
Spinal Research Institute Limited,3101
Fellowship Of Aust Writers West Aust Section (Inc),6010
Walk Of Life Training Inc.,4220
Barellan Sub Branch Returned Servicesleague Of Australia,2665
Quantum Ministries Limited,2479
Baptist Church Altona,
The Legacy Foundation Of Victoria Inc,3437
The Trustee For The Mallacoota Rsl Sub Branch Welfare Patriotic Fund W457,3000
Catholic Secondary Schoolgirls' Sports Association Ltd,4068
Mandurah Surf Lifesaving Club (Inc),6210
STAND4SALONE LIMITED,2760
The Centre For Mental Health Education And Research Ltd,3146
Olivia Newton-John Cancer Research Institute,3084
Gympie Central School P C Association,4570
Encounter Church Australia Ltd,4211
Change Futures Ltd,4031
Agnes Water State School P & C Association,4677
Frankston Christian Community Centre Inc,3199
Aviation Historical Society of the NT Inc,820
St Johns Lutheran Church Milguy,2400
Shoalhaven Country Line Dancers Inc,2540
Tinbeerwah Rural Fire Brigade,4031
Bakers Hill Primary School Parents And Citizens Association,6562
Scaddan Primary School Parents & Citizens' Association Incorporated,6447
Kambalda Volunteer Fire Brigade,6442
St Ambrose Anglican Parish - Gilgandra,2827
St Christophers Anglican Church East Bentleigh,
Gateway Education Centre Incorporated,3218
University Of Southern Queensland Student Guild,4350
St Andrew's Anglican Church Wahroonga,
Hanmaum Korean Presbyterian Church Inc,3126
Hampton Baptist Community Church,3188
Association Of The Franciscan Ofm Slovene Mission,3101
St Gabriels School For Hearing Impaired Children,2154
UCA - Unitingcare St Matthews Preschool,2153
Intellectual Disability Rights Service Inc,2016
The Compassionate Friends Act And Queanbeyan Incorporated,2611
Crescent Head Community Hall Committee,2440
The Trustee For Documentary Australia Foundation,2021
The Corporation Of The Diocesan Synod Of North Queensland,4810
Maroochydore Surf Lifesaving Club Inc,4558
The Trustee For The Lawrence Bequest Trust,6846
Deloraine House Inc,7304
Belfield RSL sub-Branch (RSL NSW),2191
St Johns Evangelical Lutheran Church Burra,5417
St Mary's Parish School Inglewood,3517
Hawthorn Community Education Centre Inc,3122
Moreland Community Legal Centre Inc,3056
Riding For The Disabled Association (NSW) The Moss Vale Centre,2577
Combined Pensioners & Superannuants Association Of NSW Incorporated,2010
Emmanuel Christian Community School Emmanuel Parents Group,6064
C A Camps Trust,2777
Bonnet Bay P&C Association,2226
Beenleigh Community Pre-Schooling Centre Inc,4207
RETURNED AND SERVICES LEAGUE OF AUSTRALIA INGLEWOOD AND BRIDGEWATER,3000
Blayney Volunteer Meals On Wheels Assocociation Incorporated,2799
The Cyrene Centre,3174
Victoria State Emergency Service Leongatha Unit,3953
Box Hill Citizens Advice Bureau,3128
St Luke's Anglican School,4670
The Corporation Of The Synod Of The Diocese Of Brisbane,4170
Presbyterian Church Of Australia Inthe State Of New South Wales Parishguya Wandsworth ,2365
University Of Melbourne Graduate Student Association Inc,3010
Uni Camp For Kids Incorporated,6009
Uca - Sherwood,4075
Newhope Baptist Pre-School,3130
The Trustee For Estate Of Cecilia Button,7000
Balga Senior High School Child Care Centre (Inc),6061
The Uniting Church Ministers Benevolent Fund,2000
The Trustee For Russell Mckimmin Charitable Trust,2001
Corrigin Church Of Christ Inc,6375
Yorke Youth Services Inc,5554
Grafton South Congregation of Jehovah's Witnesses,2460
Friends Of Hawthorn Tram Depot Inc,3122
St Kilda Mums,3182
The Roman Catholic Archbishop Of Perth-Beaconsfield Parish,6162
St Vincent De Paul Society (Nt) Inc,810
Nagambie Rsl Sub-Branch,3608
The Jfd Foundation Ballarat Inc,3356
Wide Bay Women's Health Centre Inc.,4655
Victoria's Heritage Restoration Fund Inc,3002
Indonesian Christian Family Church,3207
Hamer-Tribe Trust,3004
Goomalling Mens Shed And Prostate Group Incorporated,6460
Sandy Bay Senior Citizens Club Inc ,7005
The Trustee For The Thomas Memorial Fund,3000
Blacktown Church Of Christ,2148
St Anthony's Catholic School,7250
South East Community Legal Service Inc,5290
Gungyah Ngallingnee Aboriginal Corporation,2469
The Trustee For The Belmore With Mccallums Hill & Clempton Park Parish - Acpt (1030),2000
Vivian Genevieve Weaver Library Fund Trust,4020
Mental Health Association NSW Inc.,2011
The Gwen & Edna Jones Foundation,3280
Moranbah High P&C Association,4744
Christ Lutheran Church Wudinna,5652
Pilgrims Of Zion Evangelical Lutheran Church Bookpurnong Inc,5333
Leading From Within (Greater Shepparton),3630
Uca - Winchelsea,3241
The Trustee For The Dairy Goat Society Of Australia Research Foundation,3331
Dalrymple Heights Rural Firebrigade,4031
Harrietville Television Committee Inc,3741
The Goldfields Indigenous Housing Organ Inc.,6430
Kashrus Australasia Incorporated,2026
Ecumenical Social Justice Group / Western Suburbs Inc,4068
Riding For The Disabled Association Of Western Australia Peel Group Incorporated,6171
Tungamah & District Pre-School Inc,3728
Tannum Sands State School P&C Assn Tuckshop,4680
Melaleuca Home For The Aged Inc,7310
The Trustee For The RAS of NSW Education Fund,2127
Community Information & Support Victoria Inc,3000
Crystal Brook District Retirement Village Association Inc,5523
Toowong Mandarin Congregation of Jehovah's Witnesses,4066
Immanuel Lutheran School Gawler Association Incorporated,5118
Church Of Christ Oakleigh,3166
The Henry Doubleday Research Association Of Australia Inc.,2753
Diabetes Association Of The Nt Inc,810
Maida Vale Baptist Community Centre Incorporated,6057
Gundoo Aboriginal Corporation,4605
South Melbourne Life Saving Club Inc,3206
Mustard Leadership Australia Inc,3101
The Roman Catholic Archbishop Of Perth Willetton Catholic Parish,6155
Greek Orthooox Archdiocese Ofaustralia Parish Of Coburg And Pascoevale,3058
The Trustee For Rotary International District 9450 Youth Exchange Scholarship Trust Fund,6084
Animal Welfare League Of South Australia Inc,5013
Belair Uniting Church,5052
Sydney Assembly Hall of Jehovah's Witnesses ,2557
School Of Distance Education P&C Bourke,2840
South Eastern Nursing & Home Care Assn Inc,7172
Catholic Parish Of St Benedict Broadway,2008
Ballymore Kindergarten & Preschool Association Inc,4006
St Marys Catholic Church,3796
Sunnybank Wesleyan Methodist Church,4109
Hope Christian Church Melbourne Inc,3051
Uca - Canowindra,2804
Thirlmere Public School Parents And Citizens Association,2572
Uca - Barkly Street,3350
Montmorency Community Church,3094
Uca - Southern Gold Coast,4221
Krosswerdz Incorporated,2147
Butchers Creek Hall Association Incorporated,4885
Clean Water Initiative,2156
SAMOAN ASSEMBLY OF GOD INC,4131
St Stephens Belrose Kindergarten Inc,2086
Bradfordville P & C Association,2580
Fairfield Christian Family,4103
Woolgoolga Surf Life Saving Club Inc.,2456
Brookes Street Nambour Community Kindergarten & Preschool Association Inc,
The Trustees Of The Hospitaller Order Of St John Of God,2134
IHOP Linking the Islands Trust Fund,4556
Wilberforce Public School P & C Association,2756
Tian Ci Xiang Zhen Holy Dao Association Inc,3011
The Parish Of St John The Evangelist Epping,3076
Denmark Volunteer Fire Brigade,6333
The Trustee For Mid Richmond Education Fund,2473
Mentone Rsl Sub-Branch Building Patriotic Fund No 214,3000
The Synod Of The Diocese Of The Murray Of The Anglican Church Of Australia Inc,
Bendigo Diocesan Trusts Corporation,3629
Palmdale Trust,2001
Hornsby Girls High School P&C Association,2077
The Trustee For L J Spriggs Memorial Award,5000
The Korean Buddhist Kwan Um Sa Incorporated,2196
Springwood Rsl Sub Branch The Returned And Services League Of Australia New South Wales Branch,2777
Simonds Catholic College West Melbourne,3003
Permaculture Sydney South Incorporated,2223
Epilepsy Assoc Act Inc,
St Finbar's Catholic Church Brighton East,3187
The Corporation Of The Diocesan Synod Of North Queensland,4810
Farm Road Pre School Inc,3192
Dunera Association Inc,3205
Catholic Parish Of Holy Cross Helensburgh,2508
Four Plus Two,2289
Sids And Kids Queensland Inc.,4122
Willows Presbyterian Church,4817
Australian National University Pre School & Child Care Centre ,2601
Coleraine RSL Sub-Branch,3315
The Wenkart Foundation,2040
St Brendans Catholic Primary School Lake Munmorah,2259
Porridge Bowl Housing Co-Operative Inc,5031
Alstonville High School P&C Assn ,2477
Northern District Community Health Service,3579
Broadford Presbyterian Church,3658
The Corporation Of The Synod Of The Diocese Of Brisbane,4551
The Trustee For The Frances Elizabeth Thomson Trust,2001
Community Lifestyle Support Inc,4670
Nimbin Aquarius Foundation Incorporated,2480
Pep (Progressive Employment Personnel) Inc,2250
Mandurah Lotteries House Inc,6210
Ipswich Region Community Church,4305
Camberwell Baptist Church Kindergarten,3123
Blinky Bill Portland Child Care Centre,2847
Uca - Hutchinson Close,3055
Deception Bay Meals On Wheels Inc ,4508
One Mob Fellowship Wesleyan Methodist Church,
Sacred Heart Primary School Oakleigh,3166
Our Lady Of The Rosary Catholic Church St Marys,2760
Roseworthy Agricultural Museum,5371
Woodberry Public School P&C Association,2322
Ariah Park Showground Trust,2665
New Norfolk Congregation of Jehovah's Witnesses,7140
Care Riders Incorporated,2322
Graceville State School P&C Assn ,4075
THE TRUSTEE FOR THE SILBERSCHER FAMILY FOUNDATION,3144
Reekara Landcare Group Incorporated,7256
Activ Foundation Inc,6014
CORNER STONE CHURCH INCORPORATED,6027
Uniting Church In Australia Burnie Parish,7320
Uca - Mortdale,2223
Friends Of Music Incorporated,6430
KYDS Youth Development Service Incorporated,2070
St Mary's School,3032
Older Men Unlimited Hervey Bay Inc,4655
Mid North Coast Indigenous Broadcasters Association (Aboriginal Corporation),2430
Australian National Capital Artists Inc,2602
Igreja Evangelica Assembleia De Deus Ministerio Do Belem Inc,2170
Holy Spirit Parents And Friends Asssociation,2518
Telopea Korean Congregation of Jehovah's Witnesses,2117
Beaudesert Congregation of Jehovah's Witnesses,4285
Young Aussie Enterprise Inc,7008
Love Violin For Children Australia Incorporated,2141
Kyogle Congregation of Jehovah's Witnesses,2474
The Trustee For Marcus De Vedas Estate,5000
Charity And Volunteering Vietnam Brisbane Association,4077
Abundant Life Church Incorporated,2450
Yasminah's Gift Of Hope,2160
incubated Global Solutions,4870
People and Peace Link Ltd,4217
WA Primary Health Alliance Limited,6167
Lyric Opera of Melbourne Inc,3143
Bright Sparks Australia Ltd,3070
Jewish Mediation Centre Ltd,3182
Buddharatana Monastery Of Australia Inc.,2475
Make Bullying History Foundation Ltd,2768
Illaroo Co-operative Aboriginal Corporation,2541
Mount Barker And Districtsagricultural Society Inc,6324
Brisbane Valley Care And Concern Meals On Wheels Inc,4312
Uca - West Hawthorn,3122
Children's Health Foundation Queensland,4101
Dubbo Public School P&C Assoc,2830
Kingaroy Lodge Inc,4610
Cornella Local Area Plan Implementation Committee,3559
The Trustee For Charles Gellion Bequest,2001
Ulladulla Residential Services Incorporated,2539
Holy Apostolic Catholic Assyrian Church Of The East,2176
Coominglah Rural Fire Brigade,4031
Exmouth Volunteer Marine Rescue Group Incorporated,6707
Gunnedah Congregation of Jehovah's Witnesses,2380
Our Lady Help Of Christians Primary School East Warrnambool Victoria,3280
Uniting Church Robe Campsite,5276
Glen Innes & District Information Centre Inc,2370
The Trustee For Liverpool Catholic Club Charitable Trust,2170
Bluebell Rural Fire Brigade,4031
Wallum Action Group Inc,4511
The Trustee For Hearle Bequest,6846
One Hundred & Seventy Nine Napier St Hostel Assoc Inc,3205
Act Community Language Schools Association Inc,2601
Sisters Of St Paul De Chartres Australia,4124
Impact Support Services Inc,3166
4 D Ministries Incorporated,
Quaama Mens Shed,2550
Lachlan Legacy Club Incorporated,2871
Warrnambool Church Of Christ,3280
Coles Danziger Foundation,2067
Heidelberg Christian Centre Inc,3083
The Trustee For Giles Pannon Dalgliesh Fund,3000
Coptic Orthodox Churchdiocese Of Melbourne,3111
St Elizabeth Home Aged Care Facility,2761
Australasian Order Of Old Bastards Branch 94 Hornsby,2077
Yandeyarra Pastoral Aboriginal Corporation,6069
Windsor District Baptist Church Emergency Relief Inc.,2756
Breakwater Preschool Centre Inc,3219
Greek Orthodox Archdiocese Of Aust East Keilor Ladies Auxiliary,3033
Catholic Parish Of Felix De Valois Bankstown,2200
Yamba Public School Parents And Citizensassoc,2464
Murray Bridge Agricultural And Horticultural Society Inc,5253
The Trustee For The 5% Foundation,2069
Rabbinical Council of Victoria Inc,3004
Peninsula And Chelsea Kindergarten Teachers Association Inc,3931
Amangarra Aboriginal Corporation,801
St Marys Catholic Primary School Parents And Friends Committee ,6230
Beachmere Primary P&C Association,4510
Centrehelp Incorporated,2226
Society Of The Congregations Of The Presentation Of The Blessed Virgin Mary ,2135
Unitingcare Singleton Disability Respite Services,2330
The Trustee For Hippo's Charity Foundation Fund,4565
The Trustee For Mildred Tanner Estate,5000
The Trustee For Roy O & Constance M Young Trust,2001
BENTECH ASSISTIVE TECHNOLOGIES INC,6009
Chatsworth State School Parents & Citizens Association,4570
Dawn House Inc,811
The Lutheran St Peters Church Of Greenock Inc,5360
NSW Indian Welfare Association Inc,2153
The Trustee For Merrin Foundation,3143
Australian Association Of Constitutional Law,3053
24/7 Community Inc,6430
The Friends Of Perth College Inc,6050
Broome State Emergency Service Unit (Inc),6725
Silverlea Inc,2880
Uca - Wedderburn Parish,3518
"Association of Northern, Kimberley and Arnhem Aboriginal Artists Aboriginal Corporation",800
Youth Advocacy Centre Inc,4051
Emerald Lutheran Church,4720
Christian Cultural Arts Trust,3108
East Brunswick Kindergarten and Childcare Centre Incorporated,3057
St Luke's Anglican Church Cockatoo,3781
The Trustee For Community Of James Ruse Ancillary Fund,2118
Stuartholme Sacre Coeur Associaton,4066
Jeparit Agricultural And Pastoral Society Inc,3423
Salisbury Primary P And C Association,4107
The Trustee For The Geelong Grammar Library Fund,3214
The Margaret Henderson Music Trust,2293
The Link-Youth Health Service Inc,7000
National Gospel Happening,
Scarborough Baptist Church Inc,6019
Korumburra Rsl Sub-Branch,3950
Good Shepherd Lutheran Church Hallett Cove,5158
Sydney Opera House Ladies Committee,2075
Muscular Dystrophy Association Of NSW,2114
Queensland Council Of Social Service Ltd,4101
Justice Empowerment Mission Inc,3136
Chisholm Pastoral Region,2320
Maitland District Baptist Church,2320
STATE LIBRARY OF VICTORIA FOUNDATION,3000
Anglican Parish Of Yarrawonga,3730
Wongan-Ballidu & Districts Menshed Inc,6603
Margaret River Baptist Church,6285
Kildonan Uniting Care,3076
Sussex Inlet Rsl Sub Branch,2540
The Trustee For The Grail Movement Of Australia,3766
Kunawarritji (Aboriginal Corporation),6753
The Trustee for the ACPT - Guildford with Villawood Trust,2000
Trustees Of The Roman Catholic Church For The Archdiocese Of Canberra And Goulburn As Trustee For St Francis Xavier Primary Lake Cargelligo Parents And Friends Association,2672
Perth & Districts Multiple Birth Assn (Inc),6008
Lower Belyando Rural Fire Brigade,4031
Red Chief Local Aboriginal Land Council,2380
Innawonga Aboriginal Corporation,
Autism And Aspergers Syndrome Support Group Registered Charity No Cfn 16723,2756
The Robert Anchor Cancer Foundation Inc.,5091
Mt Lofty Ranges Housing Cooperative Incorporated,5251
Yesodei Hatorah Yeshiva Inc.,3184
The Anglican Parish Of Woy Woy Fund Raising Group,2256
Swan View Senior High School P&C Assn Inc,6056
Clifton Hill Baptist Church,3068
The Earlsbrae Library Trust,3040
Ts Tingira,3920
Relationships Australia Inc,2604
Qcwa Branch Mount Morgan,4714
The Trustee For First Priority Fund,6014
Maroochydore Primary P&C Association,4558
Satsang Hindu Maha Sabha Of NSW Incorporated,2194
Rights Employment Accommodation Leisure Real Inc,3109
The Trustee For Maurice Goldstein Charitable Trust,3000
Miriam Rose Foundation Incorporated,
Gawler Youth Workers Network Incorporated,5118
Minimbah Challenge Inc,2122
Roman Catholic Trusts Corp For The Diocese Of Ballarat,3350
Aztem Inc,3166
Molong Show Society Incorporated,2866
Trustees Of The Roman Catholic Church For The Archdiocese Of Canberra And Goulburn As Trustee For The Catholic Parish Of Murrumburrah/Harden,2587
Meander Valley Christadelphian Ecclesia,7303
Christian Brothers College Adelaide,5000
Young District Anglican Ministry,2594
Holy Spirit Catholic Church Thornbury East,3071
The Big Umbrella,3008
Australian Breastfeeding Association-Sa Branch,5067
Blackheath Public School P&C Assn,2785
Atherton Arts Society Inc.,4883
Anglican Church Of Australia Parish Of Corowa,2646
Yerong Creek Parents And Citizens Association,2642
Bankstown Granville Industry Education Partnership Incorporated,2211
Windarring Central Highlands Assoc For People With Disabilities,3444
Hastings Assembly Of God Inc,3915
The Trustee For The Daryl Cohen Family Charitable Trust,3004
Deniliquin South Public School P&C Assoc,2710
Lutheran Church Of Australia Queensland District (Lutheran Community Care),4064
Inannas House Incorporated,6163
Naracoorte Family Care Centre Inc,5271
Cloncurry Kindergarten Association Inc,4824
Free Reformed Association Assisting Those With Special Needs,6112
Uca - Taroona,7053
Access Community Group Inc,2518
Ngaringga Ngurra Aboriginal Corporation,6770
The Trustee For The Southern Cross Charitable Foundation Trust,6151
Oxfam At Monash,3800
Australian Respiratory Council,2000
Fraser Coast Community Radio Inc.,4655
The Athena School Inc,2042
Wheatbelt Individual And Family Support Association Incorporated,6302
The Trustee For Centrepoint Church Trust Fund,6163
Griffith City Room Gospel Trust,2680
Richmond Primary P And C Association,4822
Walcha Rsl Sub Branch,2354
C Mead Trust,2001
South West Counselling Incorporated,6280
The Trustee For The Miller Foundation,3123
"YOUTH WITH A MISSION (PERTH) INCORPORATED AS THE OPERATOR OF A PBI
",6000
Ryder-Cheshire Mount Gambier Home Foundation Incorporated,5290
St Peter Chanel Catholic School,7330
Seymour Baptist Fellowship,3660
Trustees Of The Roman Catholic Church For The Archdiocese Of Canberra And Goulburn As Trustee For The Catholic Parish Of Campbell,2601
Eastern Hills And Murray Plains Catchment Group Inc.,5253
The Trustee For Northern Education Trust,2323
Baptist Church Logan City,4132
Uca - Camperdown,3260
Lithgow Community Transport (Translinc) Inc,
Perth Yokine Christadelphian Ecclesia,6060
Sunbury Neighbourhood House Inc,3429
Australian Sports Medicine Federation - Tasmanian Branch Inc,3206
Warilla North Baptist Church,2528
Finley RSL sub-Branch (RSL NSW),2713
Nannup State Emergency Service Unit (Inc),6275
Uca - Presbytery Of Georges River,2222
The Basin Community House Inc,3154
Woonona Public School P&C Association,2517
Cleveland Church of Christ,
Midlands Initiatives For Local Enterprise Inc,7120
Blackwood Players Incorporated,5051
Pigeons Projects Inc,3011
The Anglican Parish Of Kapunda,5373
Katanning Regional Emergency Accomodation Centre Inc,6317
Mount Evelyn Presbyterian Church,3796
The Trustee for the Anglican Diocese of Rockhampton Fund for Religious Instruction in Government Schools,4700
Prom Coast Community Church Inc ,3959
Tenterfield Total Care & Transport Inc.,2372
Mac Silva Centre Aboriginal Corporation,2204
Brisbane Broncos Charities Fund,4059
Raptor And Wildlife Refuge Of Tasmania Inc,7155
Legacy Fund Of Perth Inc,6005
Talbot Action Incorporated,3371
Sentir Graduate College Of Spiritual Formation,3101
Uniting Church In Australia Glenelg - St Andrews,5045
Anti-Violence Project Of Victoria Inc,
Real Life Church Incorporated,2320
Returned And Services League Of Australia (Tasmania Branch)_Inc,7008
Helensvale State School P & C Association,4212
Corrimal RSL sub-Branch (RSL NSW),2518
The Trustee For John And Connie Kennedy Charitable Trust,2001
Oakden Baptist Church Inc,5085
Leichhardt Out Of School Hours Care,2040
Namadgi School Boddington Site Preschool Parent Association Inc,2902
Trustees Of The Roman Catholic As Trustee For All Hallow's Gulgong,2852
St Brendan's School Coragulac,3249
Follow Baptist Church,3810
Calingiri Bushfire Brigade,6569
Autism Spectrum Australia (Aspect),2086
THE DIOCESE OF THE ARMENIAN CHURCH OF AUSTRALIA & NEW ZEALAND (PROPERTIES) LTD,2067
Kinma Limited,2084
Nambucca Heads Pre-School Playcentre Ltd,2448
Vipassana Meditation Centre Limited,2785
Gosford City Community & Information Service Ltd,2250
Blue Mountains Christian Education Association Limited,2785
The Healing Ministry Centre Golden Grove Ltd,2042
St John Ambulance Australia (Act) Incorporated,2600
The Eleanor Dark Foundation Limited,2780
The Camberwell Grammar School,3126
Preshil The Margaret Lyttle Memorial School.,3101
The Walter And Eliza Hall Institute Of Medical Research,3052
Victorian Welfare Association,3146
International Social Service Australia,3000
Australian Lithuanian Foundation,3051
Castlemaine & Maldon Railway Preservation Society,3450
Filmfest Limited,3000
St Michael's Grammar School,3182
Australian And New Zealand Cultural Arts Limited,3089
The Trustee For Mark Mitchell Research Foundation,5000
Malcolm Sargent Cancer Fund For Children (Victoria) Ltd.,
Grow,4121
Royal National Capital Agricultural Society,2911
Rotary International District 9820 Emergency Relief Trust,3844
Expressions-The Queensland Dance Theatre Limited,4006
Northside Christian Family Property Limited,4053
THE TRUSTEE FOR THE WARD FAMILY FOUNDATION,2074
Our Lady Of Hope School,5125
The Dominican Convent Incorporated,5041
The Trustee For The Mona Georgina Harris Perpetual Charitable Trust,3103
Waverley Community Learning Centre Inc,3149
Gagudju Association Inc.,810
Chinese Medical Foundation Of Western Australia Inc.,6147
Tea Gardens Hawks Nest Pre School Kindergarten Incorporated,2324
Tomaree Neighbourhood Centre Inc,2317
Lifesource Church Incorporated,2680
The Trustee For Artspace Mackay Foundation,4740
The Spiritual Assembly Of The Baha Is Of The Gold Coast,4214
Project Contemporary Artspace Inc,2500
Catholic Parish Of St Marys Casino - St Marys Primary School,2470
Gladstone Presbyterian Church,4425
Harrington-Crowdy Head RSL sub-Branch (RSL NSW),2427
Life Love & Health Inc,2640
Unique Reapers,3156
Church Property Trust - Lord Howe Island - Ivy Green,2000
Interserve Australia Inc,3153
Boscabel Bush Fire Brigade,6395
Churchill & District News,3842
Critical Path Incorporated,2027
St Andrews Anglican Church Sans Souci,2219
The Clifford Craig Medical Research Trust Limited,7250
Bundaberg Revival Fellowship,4670
The Anglican Parish Of Hamilton,2303
Concern Australia Ministry Inc.,3072
Northside Grace Church,2750
Scone Public School P&C Association Canteen,2337
Adelaide Northern Division Of General Practice Limited,5113
St Philip's Anglican Church Eastwood,2122
Family Radio Limited,4051
The Trustee For Sister M Winning,2001
Melbourne Fatima Centre,3163
Port Lincoln Tunarama Inc,5606
Baptcare Ltd,3124
The William Glasser Institute - Australia,4305
St George Community Christian Church,4487
Satyananda Yoga Academy Limited,2250
St Andrew's Medical Institute Foundation Limited ,4000
Hawthorn Presbyterian Church,3122
Balwyn Rsl Sub-Branch Building Patriotic Fund No 2473,3000
Rissalah College Limited,2195
Australian Paediatric Orthopaedic Society Ltd,2000
Australian College Of Rural And Remote Medicine,4000
United World Ministries Ltd ,4207
Coonamble Parent Support Host Family Respite Care Inc,2829
St John's Community Care Limited,4870
Groves Christian College Ltd,4114
Kimberley Foundation Australia Limited,3000
Iphc Ministries (Australia) Pty Ltd,6056
Mighty Livingwaters Life Fellowship,6155
St Mary And St Mina's Coptic Orthodox College,2207
Presbyterian Church Of Aust In The State Of NSW Parish Of Hawkesbury,2756
Kyabram Hospital Auxilliary,3619
The Trustee For The Robert Fabris Charitable Trust,4880
Klimionok Ministries International,4112
Yenda Preschool Kindergarten Inc,2681
Catholic Womens League Archdiocese Of Brisbane,4000
The Environment Centre Nt Inc,800
Re-Engineering Australia Foundation Ltd,2154
C3 Church Victory Incorporated,2290
Power Assist,3153
